Year,Month,District,Region,Estimated_Population,Confirmed_Malaria_Cases,Incidence_per_1000,Incidence_per_100,Rainfall_mm,Temperature_C,RH_percent,Month_Num,Rainfall_lag1,Rainfall_lag2,Cases_lag1,Cases_lag2
2022,September,Buea,Southwest,180680,1020,5.64,0.56,0.6642081540667896,0.33962264150943433,0.7963800904977374,9,0.26019258348699037,0.27760704773611966,0.5804195804195804,0.4825174825174825
2022,October,Buea,Southwest,180680,846,4.68,0.47,0.24933415283753327,0.4716981132075473,0.7149321266968327,10,0.6642081540667896,0.26019258348699037,0.5363636363636364,0.5804195804195804
2022,November,Buea,Southwest,180680,700,3.87,0.39,0.07682851874615858,0.5283018867924527,0.7285067873303168,11,0.24933415283753327,0.6642081540667896,0.41468531468531467,0.5363636363636364
2022,December,Buea,Southwest,180680,459,2.54,0.25,0.0163900839991805,0.6226415094339623,0.4841628959276023,12,0.07682851874615858,0.24933415283753327,0.3125874125874126,0.41468531468531467
2023,January,Buea,Southwest,185197,460,2.49,0.25,0.008195041999590248,0.6981132075471699,0.4434389140271495,1,0.0163900839991805,0.07682851874615858,0.14405594405594405,0.3125874125874126
2023,February,Buea,Southwest,185197,463,2.5,0.25,0.032575291948371235,0.8301886792452828,0.3755656108597285,2,0.008195041999590248,0.0163900839991805,0.14475524475524473,0.14405594405594405
2023,March,Buea,Southwest,185197,521,2.81,0.28,0.07949190739602541,0.6792452830188687,0.5565610859728509,3,0.032575291948371235,0.008195041999590248,0.14685314685314685,0.14475524475524473
2023,April,Buea,Southwest,185197,664,3.59,0.36,0.13542306904322884,0.6981132075471699,0.6696832579185523,4,0.07949190739602541,0.032575291948371235,0.1874125874125874,0.14685314685314685
2023,May,Buea,Southwest,185197,732,3.95,0.4,0.11329645564433517,0.7358490566037732,0.6923076923076925,5,0.13542306904322884,0.07949190739602541,0.28741258741258735,0.1874125874125874
2023,June,Buea,Southwest,185197,823,4.44,0.44,0.2519975414874001,0.4905660377358494,0.7873303167420813,6,0.11329645564433517,0.13542306904322884,0.33496503496503494,0.28741258741258735
2023,July,Buea,Southwest,185197,930,5.02,0.5,0.19606637984019668,0.4528301886792452,0.8054298642533935,7,0.2519975414874001,0.11329645564433517,0.39860139860139854,0.33496503496503494
2023,August,Buea,Southwest,185197,1043,5.63,0.56,0.08871132964556443,0.41509433962264186,0.8099547511312215,8,0.19606637984019668,0.2519975414874001,0.47342657342657335,0.39860139860139854
2023,September,Buea,Southwest,185197,1106,5.97,0.6,0.12702315099364886,0.4716981132075473,0.7782805429864261,9,0.08871132964556443,0.19606637984019668,0.5524475524475524,0.47342657342657335
2023,October,Buea,Southwest,185197,893,4.82,0.48,0.17148125384142596,0.6037735849056602,0.751131221719457,10,0.12702315099364886,0.08871132964556443,0.5965034965034964,0.5524475524475524
2023,November,Buea,Southwest,185197,670,3.62,0.36,0.07580413849620979,0.6037735849056602,0.7058823529411766,11,0.17148125384142596,0.12702315099364886,0.4475524475524475,0.5965034965034964
2023,December,Buea,Southwest,185197,499,2.7,0.27,0.004917025199754149,0.7735849056603774,0.4298642533936654,12,0.07580413849620979,0.17148125384142596,0.2916083916083916,0.4475524475524475
2024,January,Buea,Southwest,189827,519,2.73,0.27,0.0002048760499897562,0.8867924528301883,0.21266968325791868,1,0.004917025199754149,0.07580413849620979,0.17202797202797201,0.2916083916083916
2024,February,Buea,Southwest,189827,438,2.31,0.23,0.012702315099364883,1.0,0.28959276018099533,2,0.0002048760499897562,0.004917025199754149,0.18601398601398603,0.17202797202797201
2024,March,Buea,Southwest,189827,497,2.62,0.26,0.07273099774636345,0.9811320754716979,0.4705882352941173,3,0.012702315099364883,0.0002048760499897562,0.12937062937062935,0.18601398601398603
2024,April,Buea,Southwest,189827,648,3.41,0.34,0.12517926654374104,0.867924528301887,0.6244343891402715,4,0.07273099774636345,0.012702315099364883,0.17062937062937064,0.12937062937062935
2024,May,Buea,Southwest,189827,868,4.57,0.46,0.09834050399508298,0.8490566037735849,0.6515837104072397,5,0.12517926654374104,0.07273099774636345,0.27622377622377625,0.17062937062937064
2024,June,Buea,Southwest,189827,916,4.82,0.48,0.16226183159188692,0.6037735849056602,0.7692307692307696,6,0.09834050399508298,0.12517926654374104,0.43006993006993,0.27622377622377625
2024,July,Buea,Southwest,189827,939,4.95,0.49,0.2110223314894489,0.39622641509433976,0.8416289592760178,7,0.16226183159188692,0.09834050399508298,0.4636363636363636,0.43006993006993
2024,August,Buea,Southwest,189827,1034,5.45,0.54,0.19586150379020695,0.33962264150943433,0.8235294117647065,8,0.2110223314894489,0.16226183159188692,0.47972027972027964,0.4636363636363636
2024,September,Buea,Southwest,189827,1008,5.31,0.53,0.06637984019668101,0.4528301886792452,0.7149321266968327,9,0.19586150379020695,0.2110223314894489,0.5461538461538461,0.47972027972027964
2024,October,Buea,Southwest,189827,855,4.51,0.45,0.13726695349313667,0.5094339622641506,0.7601809954751131,10,0.06637984019668101,0.19586150379020695,0.5279720279720279,0.5461538461538461
2024,November,Buea,Southwest,189827,697,3.67,0.37,0.03073140749846343,0.6415094339622645,0.5927601809954752,11,0.13726695349313667,0.06637984019668101,0.42097902097902096,0.5279720279720279
2024,December,Buea,Southwest,189827,524,2.76,0.28,0.004712149149764393,0.8301886792452828,0.3122171945701355,12,0.03073140749846343,0.13726695349313667,0.31048951048951046,0.42097902097902096
2015,March,Kumba,Southwest,205000,641,3.13,0.31,0.05039950829748002,0.4528301886792452,0.633484162895928,3,0.06556033599672198,0.005121901249743905,0.2055944055944056,0.21888111888111886
2015,April,Kumba,Southwest,205000,766,3.74,0.37,0.07027248514648637,0.39622641509433976,0.7420814479638009,4,0.05039950829748002,0.06556033599672198,0.27132867132867133,0.2055944055944056
2015,May,Kumba,Southwest,205000,884,4.31,0.43,0.1632862118418357,0.35849056603773555,0.8371040723981906,5,0.07027248514648637,0.05039950829748002,0.35874125874125873,0.27132867132867133
2015,June,Kumba,Southwest,205000,1134,5.53,0.55,0.4738783036263061,0.11320754716981174,0.9909502262443439,6,0.1632862118418357,0.07027248514648637,0.4412587412587412,0.35874125874125873
2015,July,Kumba,Southwest,205000,1373,6.7,0.67,0.3341528375332924,0.056603773584906314,0.9773755656108598,7,0.4738783036263061,0.1632862118418357,0.616083916083916,0.4412587412587412
2015,August,Kumba,Southwest,205000,1370,6.68,0.67,0.29256299938537184,0.056603773584906314,0.9909502262443439,8,0.3341528375332924,0.4738783036263061,0.7832167832167832,0.616083916083916
2015,September,Kumba,Southwest,205000,1181,5.76,0.58,0.31550911698422457,0.11320754716981174,0.9547511312217196,9,0.29256299938537184,0.3341528375332924,0.7811188811188811,0.7832167832167832
2015,October,Kumba,Southwest,205000,1130,5.51,0.55,0.2985044048350748,0.16981132075471717,0.995475113122172,10,0.31550911698422457,0.29256299938537184,0.6489510489510489,0.7811188811188811
2015,November,Kumba,Southwest,205000,908,4.43,0.44,0.1768080311411596,0.301886792452831,0.8099547511312215,11,0.2985044048350748,0.31550911698422457,0.6132867132867132,0.6489510489510489
2015,December,Kumba,Southwest,205000,604,2.95,0.29,0.0012292562999385373,0.2641509433962259,0.3981900452488687,12,0.1768080311411596,0.2985044048350748,0.458041958041958,0.6132867132867132
2016,January,Kumba,Southwest,210124,556,2.65,0.26,0.003073140749846343,0.5660377358490569,0.0950226244343888,1,0.0012292562999385373,0.1768080311411596,0.24545454545454545,0.458041958041958
2016,February,Kumba,Southwest,210124,601,2.86,0.29,0.019053472649047328,0.8113207547169816,0.06787330316742102,2,0.003073140749846343,0.0012292562999385373,0.21188811188811188,0.24545454545454545
2016,March,Kumba,Southwest,210124,624,2.97,0.3,0.19872976849006352,0.5471698113207548,0.7330316742081453,3,0.019053472649047328,0.003073140749846343,0.24335664335664334,0.21188811188811188
2016,April,Kumba,Southwest,210124,808,3.85,0.38,0.12968653964351567,0.4528301886792452,0.886877828054299,4,0.19872976849006352,0.019053472649047328,0.25944055944055944,0.24335664335664334
